"namespace","term","iri","label","label_ja","type","status","replaced_by","use_at_bio_database"
"dwc","taxonAccordingTo","http://rs.tdwg.org/dwc/terms/taxonAccordingTo","Taxon According To","","Property","invalid","http://rs.tdwg.org/dwc/terms/nameAccordingTo","false"
"dwc","taxonAttributes","http://rs.tdwg.org/dwc/terms/taxonAttributes","Taxon Attributes","","Property","invalid","","false"
"dwc","taxonConceptID","http://rs.tdwg.org/dwc/terms/taxonConceptID","Taxon Concept ID","分類群概念識別子","Property","valid","","true"
"dwc","taxonFormula","http://rs.tdwg.org/dwc/terms/taxonFormula","Taxon Formula","分類群式","Property","valid","","true"
"dwc","taxonID","http://rs.tdwg.org/dwc/terms/taxonID","Taxon ID","分類群識別子","Property","valid","","true"
"dwc","TaxonID","http://rs.tdwg.org/dwc/terms/TaxonID","Taxon ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/taxonNameID","false"
"dwc","taxonNameID","http://rs.tdwg.org/dwc/terms/taxonNameID","Taxon Name ID","","Property","invalid","","false"
"dwc","taxonomicStatus","http://rs.tdwg.org/dwc/terms/taxonomicStatus","Taxonomic Status","分類学的状態","Property","valid","","true"
"dwc","taxonRank","http://rs.tdwg.org/dwc/terms/taxonRank","Taxon Rank","分類階級","Property","valid","","true"
"dwc","taxonRemarks","http://rs.tdwg.org/dwc/terms/taxonRemarks","Taxon Remarks","分類群注記","Property","valid","","true"
"dwc","tribe","http://rs.tdwg.org/dwc/terms/tribe","Tribe","族","Property","valid","","true"
"dwc","typeOfType","http://rs.tdwg.org/dwc/terms/typeOfType","Type Of Type","タイプ標本の種別","Property","valid","","true"
"dwc","typeStatus","http://rs.tdwg.org/dwc/terms/typeStatus","Type Status","タイプ標本の状態","Property","valid","","true"
"dwc","typifiedName","http://rs.tdwg.org/dwc/terms/typifiedName","Typified Name","模式化名","Property","valid","","true"
"dwc","UsagePolicy","http://rs.tdwg.org/dwc/terms/UsagePolicy","Usage Policy","用法方針","Class","valid","","false"
"dwc","verbatimAssertionType","http://rs.tdwg.org/dwc/terms/verbatimAssertionType","Verbatim Assertion Type","原記載どおりの主張種別","Property","valid","","false"
"dwc","verbatimCoordinates","http://rs.tdwg.org/dwc/terms/verbatimCoordinates","Verbatim Coordinates","原記載どおりの座標","Property","valid","","true"
"dwc","verbatimCoordinateSystem","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem","Verbatim Coordinate System","原記載どおりの座標系","Property","valid","","true"
"dwc","verbatimDepth","http://rs.tdwg.org/dwc/terms/verbatimDepth","Verbatim Depth","原記載どおりの水深","Property","valid","","true"
"dwc","verbatimElevation","http://rs.tdwg.org/dwc/terms/verbatimElevation","Verbatim Elevation","原記載どおりの標高","Property","valid","","true"
"dwc","verbatimEventDate","http://rs.tdwg.org/dwc/terms/verbatimEventDate","Verbatim EventDate","原記載どおりのイベント日","Property","valid","","true"
"dwc","verbatimIdentification","http://rs.tdwg.org/dwc/terms/verbatimIdentification","Verbatim Identification","原記載どおりの同定","Property","valid","","true"
"dwc","verbatimLabel","http://rs.tdwg.org/dwc/terms/verbatimLabel","Verbatim Label","原記載どおりのラベル","Property","valid","","true"
"dwc","verbatimLatitude","http://rs.tdwg.org/dwc/terms/verbatimLatitude","Verbatim Latitude","原記載どおりの緯度","Property","valid","","true"
"dwc","verbatimLocality","http://rs.tdwg.org/dwc/terms/verbatimLocality","Verbatim Locality","原記載どおりの地域名","Property","valid","","true"
"dwc","verbatimLongitude","http://rs.tdwg.org/dwc/terms/verbatimLongitude","Verbatim Longitude","原記載どおりの経度","Property","valid","","true"
"dwc","verbatimMeasurementType","http://rs.tdwg.org/dwc/terms/verbatimMeasurementType","Verbatim Measurement Type","原記載どおりの測定種別","Property","valid","","true"
"dwc","verbatimScientificNameRank","http://rs.tdwg.org/dwc/terms/verbatimScientificNameRank","Verbatim Scientific Name Rank","","Property","invalid","http://rs.tdwg.org/dwc/terms/verbatimTaxonRank","false"
"dwc","verbatimSRS","http://rs.tdwg.org/dwc/terms/verbatimSRS","Verbatim SRS","原記載どおりの空間参照系","Property","valid","","true"
"dwc","verbatimTaxonRank","http://rs.tdwg.org/dwc/terms/verbatimTaxonRank","Verbatim Taxon Rank","原記載どおりの分類階級","Property","valid","","true"
"dwc","vernacularName","http://rs.tdwg.org/dwc/terms/vernacularName","Vernacular Name","標準和名","Property","valid","","true"
"dwc","verticalDatum","http://rs.tdwg.org/dwc/terms/verticalDatum","Vertical Datum","鉛直基準面","Property","valid","","true"
"dwc","vitality","http://rs.tdwg.org/dwc/terms/vitality","Vitality","生存状態","Property","valid","","true"
"dwc","waterBody","http://rs.tdwg.org/dwc/terms/waterBody","Water Body","水域","Property","valid","","true"
"dwc","year","http://rs.tdwg.org/dwc/terms/year","Year","年","Property","valid","","true"
"dwciri","assayType","http://rs.tdwg.org/dwc/iri/assayType","Assay Type (IRI)","アッセイ種別","Property","valid","","false"
"dwciri","assertionBy","http://rs.tdwg.org/dwc/iri/assertionBy","Assertion By (IRI)","主張作成者","Property","valid","","false"
"dwciri","assertionType","http://rs.tdwg.org/dwc/iri/assertionType","Assertion Type (IRI)","主張種別","Property","valid","","false"
"dwciri","assertionUnit","http://rs.tdwg.org/dwc/iri/assertionUnit","Assertion Unit (IRI)","主張単位","Property","valid","","false"
"dwciri","assertionValue","http://rs.tdwg.org/dwc/iri/assertionValue","Assertion Value (IRI)","主張値","Property","valid","","false"
"dwciri","behavior","http://rs.tdwg.org/dwc/iri/behavior","Behavior (IRI)","行動","Property","valid","","false"
"dwciri","caste","http://rs.tdwg.org/dwc/iri/caste","Caste (IRI)","カースト","Property","valid","","false"
"dwciri","dataGeneralizations","http://rs.tdwg.org/dwc/iri/dataGeneralizations","Data Generalizations (IRI)","データ一般化","Property","valid","","false"
"dwciri","degreeOfEstablishment","http://rs.tdwg.org/dwc/iri/degreeOfEstablishment","Degree of Establishment (IRI)","定着程度","Property","valid","","false"
"dwciri","discipline","http://rs.tdwg.org/dwc/iri/discipline","Discipline (IRI)","分野","Property","valid","","false"
"dwciri","disposition","http://rs.tdwg.org/dwc/iri/disposition","Disposition (IRI)","処分状態","Property","valid","","false"
